title,url,headings_count,code_blocks_count,word_count,saved_html,saved_markdown,saved_json
Read blocked numbers for a User,https://docs.ns-api.com/reference/get_domains-domain-users-user-number-filters,3,1,2342,reference_get_domains-domain-users-user-number-filters_3f2200f19271b212.html,reference_get_domains-domain-users-user-number-filters_3f2200f19271b212.md,reference_get_domains-domain-users-user-number-filters_3f2200f19271b212.json
Reorder Answerrules for my User,https://docs.ns-api.com/reference/put_domains-domain-users-user-answerrules-reorder,3,1,2382,reference_put_domains-domain-users-user-answerrules-reorder_ad468eaddcf0bad9.html,reference_put_domains-domain-users-user-answerrules-reorder_ad468eaddcf0bad9.md,reference_put_domains-domain-users-user-answerrules-reorder_ad468eaddcf0bad9.json
Replace All Date Ranges in Specific Dates Timeframe,https://docs.ns-api.com/reference/put_domains-domain-users-user-timeframes-id,3,1,2432,reference_put_domains-domain-users-user-timeframes-id_194fb8ed67570880.html,reference_put_domains-domain-users-user-timeframes-id_194fb8ed67570880.md,reference_put_domains-domain-users-user-timeframes-id_194fb8ed67570880.json
Request a Full System backup,https://docs.ns-api.com/reference/post_backup,3,1,2335,reference_post_backup_17748a09d177aadc.html,reference_post_backup_17748a09d177aadc.md,reference_post_backup_17748a09d177aadc.json
Revoke JWT(s) by UID (user@domain),https://docs.ns-api.com/reference/revokejwtbyuid,3,1,2333,reference_revokejwtbyuid_28d195bb80d8c4af.html,reference_revokejwtbyuid_28d195bb80d8c4af.md,reference_revokejwtbyuid_28d195bb80d8c4af.json
Send Email using Template,https://docs.ns-api.com/reference/sendemail,3,1,2377,reference_sendemail_3db11d6eb38326d8.html,reference_sendemail_3db11d6eb38326d8.md,reference_sendemail_3db11d6eb38326d8.json
Send Phonenumber to Offnet Number,https://docs.ns-api.com/reference/updatephonenumberoffnet,3,1,2372,reference_updatephonenumberoffnet_3d6517f583fb106b.html,reference_updatephonenumberoffnet_3d6517f583fb106b.md,reference_updatephonenumberoffnet_3d6517f583fb106b.json
Send Phonenumber to a User,https://docs.ns-api.com/reference/updatephonenumberuser,3,1,2349,reference_updatephonenumberuser_101877c7ff06b104.html,reference_updatephonenumberuser_101877c7ff06b104.md,reference_updatephonenumberuser_101877c7ff06b104.json
Send a message (MMS),https://docs.ns-api.com/reference/sendmessagemms,3,1,2356,reference_sendmessagemms_90427f0349758a29.html,reference_sendmessagemms_90427f0349758a29.md,reference_sendmessagemms_90427f0349758a29.json
Start a new Message Session,https://docs.ns-api.com/reference/startsession,3,1,2358,reference_startsession_2cada53f1fc78d33.html,reference_startsession_2cada53f1fc78d33.md,reference_startsession_2cada53f1fc78d33.json
Update Address for Domain,https://docs.ns-api.com/reference/updateaddressfordomain,3,1,2335,reference_updateaddressfordomain_6360b0c8522be51d.html,reference_updateaddressfordomain_6360b0c8522be51d.md,reference_updateaddressfordomain_6360b0c8522be51d.json
Update Address for User,https://docs.ns-api.com/reference/updateaddressforuser,3,1,2337,reference_updateaddressforuser_28b970847b024149.html,reference_updateaddressforuser_28b970847b024149.md,reference_updateaddressforuser_28b970847b024149.json
Update Agent in Call Queue,https://docs.ns-api.com/reference/updateagent,3,1,2340,reference_updateagent_3af0ba930e1a3d7a.html,reference_updateagent_3af0ba930e1a3d7a.md,reference_updateagent_3af0ba930e1a3d7a.json
Update Hold Messge for User from Upload (Multipart/Mixed Post),https://docs.ns-api.com/reference/updatemsguserfileupload,3,1,2352,reference_updatemsguserfileupload_c927a494d7e1f3a1.html,reference_updatemsguserfileupload_c927a494d7e1f3a1.md,reference_updatemsguserfileupload_c927a494d7e1f3a1.json
Update MOH for User from Upload (JSON + Base64 File),https://docs.ns-api.com/reference/updatemohuserbase64,3,1,2374,reference_updatemohuserbase64_33b60976bc78bee6.html,reference_updatemohuserbase64_33b60976bc78bee6.md,reference_updatemohuserbase64_33b60976bc78bee6.json
Update Messagesession (Leave),https://docs.ns-api.com/reference/leavemessagesession,3,1,2343,reference_leavemessagesession_789bdd0ec13b2121.html,reference_leavemessagesession_789bdd0ec13b2121.md,reference_leavemessagesession_789bdd0ec13b2121.json
Using docs.ns-api.com,https://docs.ns-api.com/docs/using-docsns-apicom,10,0,339,docs_using-docsns-apicom_be9ab8c1a64bf682.html,docs_using-docsns-apicom_be9ab8c1a64bf682.md,docs_using-docsns-apicom_be9ab8c1a64bf682.json
Validate Address,https://docs.ns-api.com/reference/validateaddress,3,1,2328,reference_validateaddress_fb516b7b534f1f21.html,reference_validateaddress_fb516b7b534f1f21.md,reference_validateaddress_fb516b7b534f1f21.json
v1 Migration to v2,https://docs.ns-api.com/docs/v1-migration-to-v2,15,0,973,docs_v1-migration-to-v2_e0a2c79d35890ad0.html,docs_v1-migration-to-v2_e0a2c79d35890ad0.md,docs_v1-migration-to-v2_e0a2c79d35890ad0.json
